transaction_id,customer_id,product_id,quantity,price,discount,revenue,timestamp
T000001,C41072,P0046,1,705.5,0,705.5,2026-08-01 12:10:35.183920
T000002,C22182,P0049,1,10175.44,0,10175.44,2026-05-02 23:28:42.183920
T000003,C36399,P0237,1,14872.61,0,14872.61,2025-10-09 05:45:59.183920
T000004,C02165,P0132,3,4941.68,0,14825.04,2025-09-07 02:03:40.183920
T000005,C44335,P0426,2,11750.47,5,22325.89,2025-12-27 01:51:34.183920
T000006,C18155,P0477,1,5408.9,0,5408.9,2026-02-12 15:15:51.183920
T000007,C17147,P0390,1,13069.36,0,13069.36,2026-06-21 00:59:57.183920
T000008,C26262,P0118,1,3368.03,0,3368.03,2026-03-24 17:41:15.183920
T000009,C37809,P0287,1,12383.37,5,11764.2,2026-04-12 10:43:34.183920
T000010,C09931,P0073,1,12986.45,0,12986.45,2026-03-19 07:56:43.183920
T000011,C20228,P0020,2,2858.27,0,5716.54,2025-09-24 21:33:55.183920
T000012,C20176,P0373,1,10840.66,0,10840.66,2025-12-08 02:55:23.183920
T000013,C48368,P0323,1,1592.33,0,1592.33,2026-04-26 16:27:16.183920
T000014,C31803,P0293,1,3585.3,5,3406.04,2025-09-17 03:53:57.183920
T000015,C45641,P0332,1,11932.02,5,11335.42,2026-08-20 20:20:32.183920
T000016,C43134,P0174,1,10098.8,5,9593.86,2026-05-03 15:43:35.183920
T000017,C32357,P0490,1,13006.94,0,13006.94,2026-05-06 18:04:35.183920
T000018,C14375,P0167,2,6284.35,0,12568.7,2026-03-15 02:32:52.183920
T000019,C04056,P0171,1,9443.09,15,8026.63,2025-12-12 23:05:00.183920
T000020,C07184,P0221,1,525.23,0,525.23,2025-12-02 20:39:11.183920
T000021,C06854,P0262,1,13010.34,10,11709.31,2026-04-21 06:49:38.183920
T000022,C46921,P0082,1,12724.06,5,12087.86,2026-08-17 03:07:15.183920
T000023,C29068,P0474,1,6461.54,0,6461.54,2026-01-16 03:16:40.183920
T000024,C02504,P0392,1,5673.94,5,5390.24,2025-08-31 01:23:14.183920
T000025,C27091,P0338,1,10828.56,0,10828.56,2026-05-19 07:48:56.183920
T000026,C37075,P0431,1,13329.51,0,13329.51,2025-10-31 00:32:49.183920
T000027,C06725,P0172,1,5556.27,0,5556.27,2025-11-12 01:04:32.183920
T000028,C40008,P0336,1,13103.48,0,13103.48,2025-09-09 00:56:54.183920
T000029,C44733,P0467,1,534.61,0,534.61,2025-09-05 04:10:46.183920
T000030,C21355,P0471,1,12232.39,10,11009.15,2025-09-08 13:08:35.183920
T000031,C46354,P0214,1,13696.58,0,13696.58,2026-06-02 01:06:55.183920
T000032,C31691,P0366,2,11939.21,5,22684.5,2026-06-01 05:43:34.183920
T000033,C18692,P0393,1,10190.38,5,9680.86,2026-03-14 00:17:32.183920
T000034,C41120,P0483,1,13652.34,10,12287.11,2026-06-23 00:17:49.183920
T000035,C08106,P0397,2,3757.9,0,7515.8,2026-07-12 08:24:45.183920
T000036,C29204,P0315,1,12124.42,0,12124.42,2026-07-22 05:04:37.183920
T000037,C49453,P0276,1,11743.09,0,11743.09,2026-06-01 19:33:30.183920
T000038,C37217,P0029,1,7554.31,5,7176.59,2025-11-16 16:58:22.183920
T000039,C44337,P0324,2,5544.43,0,11088.86,2025-11-29 09:49:04.183920
T000040,C02139,P0451,2,13847.2,0,27694.4,2025-12-01 21:42:44.183920
T000041,C38821,P0121,1,4220.03,15,3587.03,2026-03-05 20:15:52.183920
T000042,C23439,P0399,1,3471.06,0,3471.06,2026-05-06 08:50:59.183920
T000043,C43603,P0425,1,2819.15,5,2678.19,2026-06-11 19:56:04.183920
T000044,C33486,P0054,2,9834.48,5,18685.51,2026-06-27 17:41:31.183920
T000045,C14083,P0360,1,6756.66,0,6756.66,2025-08-30 21:08:13.183920
T000046,C45234,P0052,1,1269.91,0,1269.91,2026-07-22 12:53:17.183920
T000047,C08911,P0046,1,705.5,0,705.5,2026-02-24 19:41:56.183920
T000048,C01510,P0313,1,14925.01,0,14925.01,2026-04-14 20:22:47.183920
T000049,C46166,P0146,1,14285.7,0,14285.7,2025-12-18 10:42:14.183920
T000050,C38584,P0166,1,4242.98,5,4030.83,2026-08-06 02:27:57.183920
T000051,C30322,P0036,1,4671.43,15,3970.72,2026-03-27 18:18:30.183920
T000052,C04285,P0106,2,11425.91,0,22851.82,2025-12-07 08:03:41.183920
T000053,C07476,P0032,1,10805.77,0,10805.77,2025-11-10 01:31:26.183920
T000054,C39054,P0014,1,4360.58,10,3924.52,2026-02-15 16:14:20.183920
T000055,C07682,P0461,1,14629.61,0,14629.61,2026-01-28 05:26:59.183920
T000056,C37178,P0051,1,14296.4,0,14296.4,2026-07-18 04:53:32.183920
T000057,C46525,P0279,1,2429.91,5,2308.41,2026-06-23 04:05:21.183920
T000058,C21822,P0109,1,2419.52,5,2298.54,2026-02-07 21:07:06.183920
T000059,C05026,P0030,1,8215.97,5,7805.17,2026-02-07 07:37:56.183920
T000060,C32725,P0015,1,14526.51,5,13800.18,2026-02-28 10:27:27.183920
T000061,C25960,P0447,1,7941.15,0,7941.15,2026-04-16 01:50:36.183920
T000062,C24749,P0247,1,938.11,0,938.11,2025-09-01 21:10:46.183920
T000063,C12133,P0167,1,6284.35,5,5970.13,2026-06-01 01:25:58.183920
T000064,C34659,P0319,1,12107.56,15,10291.43,2025-10-17 03:05:22.183920
T000065,C08474,P0244,1,997.03,5,947.18,2026-07-09 11:13:54.183920
T000066,C06881,P0241,1,6010.4,0,6010.4,2026-03-05 08:53:41.183920
T000067,C15902,P0489,1,5932.02,0,5932.02,2026-06-30 09:30:19.183920
T000068,C10361,P0204,1,6237.3,0,6237.3,2026-03-27 17:18:00.183920
T000069,C42880,P0168,1,14839.19,10,13355.27,2026-06-03 08:07:45.183920
T000070,C42164,P0254,1,2136.82,15,1816.3,2026-03-25 22:32:26.183920
T000071,C04644,P0031,1,5544.02,10,4989.62,2026-07-01 14:24:46.183920
T000072,C22568,P0377,1,6444.85,10,5800.37,2025-10-19 09:53:16.183920
T000073,C32933,P0304,1,7668.87,5,7285.43,2025-12-21 04:06:37.183920
T000074,C04109,P0210,1,5190.26,5,4930.75,2026-07-12 18:01:57.183920
T000075,C43350,P0354,1,5078.81,0,5078.81,2026-04-01 15:17:48.183920
T000076,C27787,P0409,1,11595.7,15,9856.35,2025-11-29 04:14:54.183920
T000077,C04828,P0257,2,5876.24,0,11752.48,2026-01-15 11:33:20.183920
T000078,C24348,P0065,1,12462.33,5,11839.21,2026-05-14 17:03:10.183920
T000079,C20793,P0213,1,6879.26,0,6879.26,2026-02-24 08:21:01.183920
T000080,C24826,P0361,1,14362.96,0,14362.96,2026-03-06 14:30:18.183920
T000081,C35376,P0225,1,10781.66,0,10781.66,2026-04-24 10:11:49.183920
T000082,C43269,P0483,2,13652.34,0,27304.68,2025-08-31 11:00:29.183920
T000083,C21057,P0461,1,14629.61,0,14629.61,2026-06-14 04:06:33.183920
T000084,C19712,P0473,1,1755.46,0,1755.46,2026-08-10 06:02:53.183920
T000085,C08048,P0467,1,534.61,0,534.61,2025-09-30 21:12:08.183920
T000086,C27749,P0341,1,2687.92,5,2553.52,2026-06-17 06:49:51.183920
T000087,C24949,P0306,1,7898.35,0,7898.35,2026-08-13 10:51:21.183920
T000088,C06141,P0045,1,5946.68,0,5946.68,2026-08-19 08:09:42.183920
T000089,C23449,P0107,1,12180.8,0,12180.8,2025-12-20 11:22:17.183920
T000090,C01363,P0494,1,3543.68,0,3543.68,2026-05-05 06:40:37.183920
T000091,C20754,P0075,2,2832.68,0,5665.36,2026-06-24 10:24:54.183920
T000092,C19922,P0072,1,1907.65,0,1907.65,2026-02-11 06:15:30.183920
T000093,C39437,P0394,2,2036.62,0,4073.24,2026-04-29 00:45:08.183920
T000094,C26972,P0339,1,5576.49,0,5576.49,2026-04-14 22:35:53.183920
T000095,C28249,P0292,2,9094.25,10,16369.65,2026-08-14 12:19:16.183920
T000096,C29233,P0211,1,8915.38,0,8915.38,2026-03-18 22:16:23.183920
T000097,C27999,P0316,1,14655.42,0,14655.42,2026-07-01 17:15:37.183920
T000098,C37384,P0418,1,14326.16,5,13609.85,2025-09-03 08:36:04.183920
T000099,C03334,P0240,1,1812.18,0,1812.18,2026-04-03 23:28:55.183920
T000100,C11451,P0258,2,10272.2,0,20544.4,2026-07-09 08:16:10.183920
T000101,C07808,P0205,2,5640.33,0,11280.66,2026-07-15 13:15:09.183920
